level,entering_vph,seed,policy,mean_delay,p50_delay,p95_delay,max_delay,mean_through_travel,p95_through_travel,mean_stops,mean_network_queue,max_network_queue,throughput_vph,residual,amb_corridor_time,amb_total_wait
1.0,1281.6,16,relay_isolated,14.6574,13.6,28.1,66.3,27.9674,39.0,1.4872,4.7698,15,1193.4,8,26.0,11.6
1.0,1281.6,16,fixed_webster,30.8649,29.1,55.1,102.8,41.8443,59.5,2.1021,10.303,25,1180.8,14,55.0,40.6
1.0,1281.6,16,fixed_coord,28.4279,25.6,62.6,107.8,36.8733,54.5,1.8006,9.489,21,1173.6,15,31.5,17.1
1.0,1281.6,17,relay_coupled,15.5622,14.6,29.1,57.3,28.5985,39.5,1.5435,5.4495,17,1281.6,5,21.0,6.6
1.0,1281.6,17,relay_isolated,15.6438,15.1,28.6,57.3,28.3694,39.0,1.5499,5.4783,17,1279.8,6,21.0,6.6
1.0,1281.6,17,fixed_webster,30.9718,30.1,53.6,106.8,42.7242,61.0,2.1591,11.0653,26,1267.2,15,55.0,40.6
1.0,1281.6,17,fixed_coord,29.2605,26.6,57.6,110.3,38.0098,54.5,1.7937,10.4775,24,1256.4,19,31.5,17.1
1.0,1281.6,18,relay_coupled,15.1011,14.1,29.6,48.3,28.3541,42.5,1.547,5.147,15,1263.6,1,19.0,4.6
1.0,1281.6,18,relay_isolated,14.6317,13.8,28.6,62.8,27.676,40.0,1.5214,4.9745,16,1263.6,1,19.0,4.6
1.0,1281.6,18,fixed_webster,30.7315,28.6,56.3,108.8,41.6497,61.5,2.0934,10.7698,28,1252.8,13,56.0,41.6
1.0,1281.6,18,fixed_coord,30.1431,28.1,59.8,119.3,39.0033,55.5,1.8553,10.5735,24,1243.8,17,31.5,17.1
1.0,1281.6,19,relay_coupled,15.5774,14.6,30.1,50.1,28.7034,42.0,1.4854,5.4303,16,1297.8,1,18.0,3.6
1.0,1281.6,19,relay_isolated,15.4666,14.6,30.6,50.1,28.4747,41.5,1.4868,5.3902,18,1297.8,1,18.0,3.6
1.0,1281.6,19,fixed_webster,29.9481,29.1,52.1,94.6,42.0482,60.5,2.1362,10.72,24,1281.6,13,55.0,40.6
1.0,1281.6,19,fixed_coord,29.0105,27.1,60.1,97.6,38.3398,56.0,1.8499,10.3483,21,1283.4,12,31.5,17.1
1.4,1794.2,0,relay_coupled,20.347,18.6,37.1,121.8,32.0113,45.5,1.9722,9.9035,26,1746.0,12,17.5,3.1
1.4,1794.2,0,relay_isolated,21.4204,19.6,41.6,160.3,32.696,46.5,2.0113,10.4697,29,1753.2,11,30.5,16.1
1.4,1794.2,0,fixed_webster,37.2599,35.6,71.3,131.3,46.4537,68.5,2.1712,18.474,42,1724.4,28,32.0,17.6
1.4,1794.2,0,fixed_coord,33.2559,29.6,67.8,104.6,41.4887,65.5,2.0146,16.4082,39,1726.2,26,24.0,9.6
1.4,1794.2,1,relay_coupled,19.832,18.1,37.6,76.3,31.7387,45.5,1.7844,9.7438,26,1778.4,9,28.5,14.1
1.4,1794.2,1,relay_isolated,19.7257,18.1,39.1,81.3,31.4547,43.5,1.7642,9.6762,25,1778.4,9,28.0,13.6
1.4,1794.2,1,fixed_webster,34.2193,30.1,74.8,136.6,41.7659,59.0,2.0774,17.1122,32,1767.6,14,17.5,3.1
1.4,1794.2,1,fixed_coord,34.5873,30.1,81.1,148.1,39.242,54.0,2.0624,17.2327,28,1760.4,15,24.0,9.6
1.4,1794.2,2,relay_coupled,19.9659,18.1,38.8,74.8,32.3365,47.5,1.79,9.3882,25,1688.4,13,21.0,6.6
1.4,1794.2,2,relay_isolated,19.9233,17.6,38.3,83.8,32.1502,46.5,1.8145,9.368,25,1688.4,13,21.0,6.6
1.4,1794.2,2,fixed_webster,34.0646,31.1,73.6,113.8,41.6732,59.5,2.0161,16.4537,35,1679.4,21,33.5,19.1
1.4,1794.2,2,fixed_coord,32.1499,29.1,73.6,130.3,39.1465,56.0,1.9979,15.4202,31,1681.2,18,24.0,9.6
1.4,1794.2,3,relay_coupled,20.8829,19.6,40.3,72.8,33.2707,47.5,1.9539,10.333,27,1794.6,8,30.5,16.1
1.4,1794.2,3,relay_isolated,20.6222,19.6,37.1,90.3,32.8135,46.0,1.9238,10.1955,31,1794.6,8,17.5,3.1
1.4,1794.2,3,fixed_webster,35.0677,32.6,69.3,126.3,43.7271,62.0,2.1672,17.6095,35,1787.4,14,33.5,19.1
1.4,1794.2,3,fixed_coord,33.2488,29.6,72.1,123.3,40.1862,54.5,2.1088,16.6762,33,1787.4,14,24.0,9.6
1.4,1794.2,4,relay_coupled,20.0189,19.1,37.1,64.8,32.5647,45.0,1.884,9.9398,25,1783.8,17,24.5,10.1
1.4,1794.2,4,relay_isolated,20.0201,18.6,38.1,64.8,32.1611,43.5,1.8769,9.8965,25,1783.8,15,24.5,10.1
1.4,1794.2,4,fixed_webster,36.7404,33.1,77.6,134.5,43.3769,60.0,2.1423,18.5315,38,1771.2,24,33.5,19.1
1.4,1794.2,4,fixed_coord,34.637,30.6,80.1,137.3,39.9062,56.5,2.0558,17.4415,34,1773.0,24,24.0,9.6
1.4,1794.2,5,relay_coupled,21.055,19.1,40.6,107.8,33.122,49.0,1.9275,10.861,24,1863.0,10,17.5,3.1
1.4,1794.2,5,relay_isolated,20.8151,19.1,40.3,130.3,32.397,45.5,1.9043,10.7135,25,1863.0,6,17.5,3.1
1.4,1794.2,5,fixed_webster,38.5736,35.1,82.1,132.6,45.1434,64.5,2.2164,20.373,35,1846.8,18,32.0,17.6
1.4,1794.2,5,fixed_coord,36.33,30.6,87.6,184.6,39.9434,57.5,2.0878,19.2052,35,1845.0,20,24.0,9.6
1.4,1794.2,6,relay_coupled,21.4891,20.1,40.1,100.8,33.409,47.5,1.9218,11.0735,25,1841.4,19,36.0,21.6
1.4,1794.2,6,relay_isolated,20.4622,18.6,41.1,84.8,32.1849,45.0,1.9433,10.568,26,1841.4,19,22.5,8.1
1.4,1794.2,6,fixed_webster,37.6474,34.6,78.3,154.3,45.0831,65.0,2.1851,19.8568,37,1837.8,18,17.5,3.1
1.4,1794.2,6,fixed_coord,35.0804,29.6,82.3,132.1,40.179,57.0,2.0765,18.4642,36,1836.0,20,24.0,9.6
1.4,1794.2,7,relay_coupled,19.773,18.1,37.6,68.8,32.2949,46.5,1.8644,9.4657,24,1699.2,20,36.0,21.6
