profile,level,total_demand_vph,seed,policy,mean_wait,p50_wait,p95_wait,max_wait,mean_queue,max_queue,throughput_vph,residual_queue,n_vehicles
asymmetric,0.8,1022.4,20,fixed_equal,12.0132,11.5,23.5,30.0,3.3647,12,1005.6,1,416
asymmetric,0.8,1022.4,20,fixed_webster,8.2993,6.0,24.0,42.0,2.3213,12,1008.0,1,416
asymmetric,0.8,1022.4,21,relay,6.4622,6.0,15.0,28.0,1.8893,12,1046.4,3,437
asymmetric,0.8,1022.4,21,fixed_equal,11.8673,12.0,23.5,39.0,3.4787,11,1041.6,5,437
asymmetric,0.8,1022.4,21,fixed_webster,8.5183,6.5,25.0,50.5,2.49,13,1044.0,4,437
asymmetric,0.8,1022.4,22,relay,5.5447,4.0,13.5,23.5,1.5717,7,1015.2,3,425
asymmetric,0.8,1022.4,22,fixed_equal,11.5718,11.5,23.5,33.0,3.324,11,1024.8,2,425
asymmetric,0.8,1022.4,22,fixed_webster,8.3235,6.5,23.0,37.0,2.3803,8,1024.8,1,425
asymmetric,0.8,1022.4,23,relay,5.9541,5.5,14.0,23.5,1.687,12,1003.2,7,425
asymmetric,0.8,1022.4,23,fixed_equal,11.1176,10.5,23.5,39.0,3.1953,12,1012.8,7,425
asymmetric,0.8,1022.4,23,fixed_webster,10.0718,8.0,26.5,49.5,2.8537,10,1003.2,7,425
asymmetric,0.8,1022.4,24,relay,5.3068,4.5,12.5,18.0,1.3173,7,895.2,0,370
asymmetric,0.8,1022.4,24,fixed_equal,11.9081,11.5,24.0,34.0,2.997,10,902.4,0,370
asymmetric,0.8,1022.4,24,fixed_webster,9.0622,7.5,24.5,44.5,2.255,8,902.4,0,370
asymmetric,0.8,1022.4,25,relay,5.8321,5.0,13.5,27.0,1.598,9,981.6,2,411
asymmetric,0.8,1022.4,25,fixed_equal,11.6557,10.5,23.5,37.5,3.2147,13,988.8,1,411
asymmetric,0.8,1022.4,25,fixed_webster,9.7397,8.0,25.0,49.5,2.6687,11,984.0,1,411
asymmetric,0.8,1022.4,26,relay,5.1143,4.0,13.0,25.5,1.3957,7,976.8,2,407
asymmetric,0.8,1022.4,26,fixed_equal,11.8366,11.5,23.5,37.0,3.2723,13,986.4,2,407
asymmetric,0.8,1022.4,26,fixed_webster,8.4201,7.5,23.0,36.0,2.3237,9,986.4,2,407
asymmetric,0.8,1022.4,27,relay,5.7609,5.5,13.0,22.5,1.6713,10,1046.4,0,435
asymmetric,0.8,1022.4,27,fixed_equal,12.0724,12.0,23.5,41.0,3.5337,13,1051.2,1,435
asymmetric,0.8,1022.4,27,fixed_webster,8.977,7.5,24.0,33.5,2.6227,11,1053.6,0,435
asymmetric,0.8,1022.4,28,relay,6.2681,6.0,14.0,21.5,1.913,9,1087.2,5,457
asymmetric,0.8,1022.4,28,fixed_equal,11.8359,11.0,24.0,42.0,3.617,13,1092.0,4,457
asymmetric,0.8,1022.4,28,fixed_webster,8.8162,7.5,23.5,42.0,2.6977,10,1089.6,7,457
asymmetric,0.8,1022.4,29,relay,6.3047,5.5,15.5,30.5,1.8937,9,1082.4,1,448
asymmetric,0.8,1022.4,29,fixed_equal,13.6429,13.0,30.5,54.0,4.1237,14,1077.6,4,448
asymmetric,0.8,1022.4,29,fixed_webster,10.0502,9.0,27.0,38.5,3.049,11,1077.6,6,448
asymmetric,1.0,1278.0,0,relay,6.3589,5.0,15.0,22.5,2.2137,11,1243.2,5,521
asymmetric,1.0,1278.0,0,fixed_equal,15.048,14.5,34.0,85.5,5.6463,23,1267.2,9,521
asymmetric,1.0,1278.0,0,fixed_webster,9.1545,8.0,22.0,41.5,3.189,11,1236.0,9,521
asymmetric,1.0,1278.0,1,relay,6.3548,5.5,15.0,25.5,2.315,10,1305.6,3,544
asymmetric,1.0,1278.0,1,fixed_equal,14.3474,14.0,32.0,45.5,5.2347,15,1305.6,4,544
asymmetric,1.0,1278.0,1,fixed_webster,8.8631,7.5,23.5,47.0,3.219,10,1303.2,5,544
asymmetric,1.0,1278.0,2,relay,6.6308,6.0,14.5,35.5,2.197,10,1195.2,0,497
asymmetric,1.0,1278.0,2,fixed_equal,14.3974,12.5,36.0,55.5,4.8167,21,1200.0,1,497
asymmetric,1.0,1278.0,2,fixed_webster,10.1268,9.5,27.0,42.5,3.3863,11,1192.8,5,497
asymmetric,1.0,1278.0,3,relay,6.8886,6.0,15.5,30.5,2.412,11,1252.8,4,525
asymmetric,1.0,1278.0,3,fixed_equal,14.3886,14.0,30.0,51.0,5.0573,19,1255.2,4,525
asymmetric,1.0,1278.0,3,fixed_webster,9.5105,8.5,25.5,46.5,3.33,12,1257.6,3,525
asymmetric,1.0,1278.0,4,relay,6.6034,6.0,16.5,27.0,2.32,12,1262.4,1,527
asymmetric,1.0,1278.0,4,fixed_equal,13.2258,12.0,27.5,49.5,4.6467,16,1257.6,3,527
asymmetric,1.0,1278.0,4,fixed_webster,10.1338,7.5,28.0,50.5,3.5613,12,1262.4,2,527
asymmetric,1.0,1278.0,5,relay,7.3752,7.0,15.5,28.5,2.7223,11,1332.0,0,553
asymmetric,1.0,1278.0,5,fixed_equal,15.0669,13.0,39.5,62.0,5.577,19,1332.0,1,553
asymmetric,1.0,1278.0,5,fixed_webster,10.2505,9.0,27.0,48.0,3.7917,12,1336.8,2,553
asymmetric,1.0,1278.0,6,relay,6.5676,5.5,16.0,36.5,2.437,11,1334.4,1,555
asymmetric,1.0,1278.0,6,fixed_equal,13.9595,14.0,29.0,46.0,5.1867,17,1332.0,3,555
asymmetric,1.0,1278.0,6,fixed_webster,9.9604,8.0,26.0,66.5,3.7047,12,1334.4,5,555
asymmetric,1.0,1278.0,7,relay,6.6619,6.0,15.5,28.0,2.3383,9,1262.4,1,525
asymmetric,1.0,1278.0,7,fixed_equal,12.459,12.0,25.0,34.5,4.382,13,1257.6,3,525
asymmetric,1.0,1278.0,7,fixed_webster,9.341,8.0,24.0,49.5,3.2853,11,1262.4,3,525
asymmetric,1.0,1278.0,8,relay,7.1495,6.0,17.5,33.0,2.512,11,1252.8,5,525
asymmetric,1.0,1278.0,8,fixed_equal,13.8667,13.5,29.5,57.0,4.8737,17,1252.8,5,525
asymmetric,1.0,1278.0,8,fixed_webster,10.2981,8.0,28.5,62.0,3.6577,13,1262.4,4,525
asymmetric,1.0,1278.0,9,relay,6.6223,6.0,14.5,24.0,2.281,10,1233.6,3,515
asymmetric,1.0,1278.0,9,fixed_equal,14.0165,13.0,31.5,48.5,4.8337,15,1233.6,3,515
asymmetric,1.0,1278.0,9,fixed_webster,8.9175,7.0,24.0,53.0,3.071,12,1236.0,3,515
asymmetric,1.0,1278.0,10,relay,7.2874,6.5,17.0,27.0,2.5417,12,1252.8,2,522
asymmetric,1.0,1278.0,10,fixed_equal,13.8755,13.5,28.5,45.5,4.85,14,1255.2,1,522
asymmetric,1.0,1278.0,10,fixed_webster,9.6274,7.5,27.0,58.5,3.3587,13,1250.4,4,522
asymmetric,1.0,1278.0,11,relay,6.9381,6.0,15.5,30.5,2.5273,10,1310.4,1,541
asymmetric,1.0,1278.0,11,fixed_equal,12.3854,12.0,25.5,37.5,4.535,15,1303.2,4,541
asymmetric,1.0,1278.0,11,fixed_webster,9.634,7.5,27.5,48.5,3.498,11,1303.2,3,541
asymmetric,1.0,1278.0,12,relay,7.1201,6.0,16.0,33.0,2.565,10,1276.8,8,537
asymmetric,1.0,1278.0,12,fixed_equal,14.7765,15.0,29.0,67.0,5.337,16,1288.8,6,537
asymmetric,1.0,1278.0,12,fixed_webster,9.0736,8.0,24.0,46.0,3.302,13,1284.0,10,537
asymmetric,1.0,1278.0,13,relay,6.8328,6.0,16.0,27.5,2.6277,9,1375.2,4,574
asymmetric,1.0,1278.0,13,fixed_equal,15.1498,15.0,33.5,46.0,5.8577,15,1384.8,3,574
asymmetric,1.0,1278.0,13,fixed_webster,9.0601,7.0,25.5,40.5,3.4773,13,1370.4,6,574
asymmetric,1.0,1278.0,14,relay,7.0858,6.5,16.5,33.0,2.5957,11,1315.2,2,542
asymmetric,1.0,1278.0,14,fixed_equal,14.2389,14.5,31.5,53.0,5.2147,20,1315.2,2,542
asymmetric,1.0,1278.0,14,fixed_webster,9.6042,8.0,27.0,52.0,3.507,12,1305.6,6,542
asymmetric,1.0,1278.0,15,relay,6.7963,6.0,16.0,34.5,2.4563,9,1284.0,6,535
asymmetric,1.0,1278.0,15,fixed_equal,14.2084,13.5,31.0,54.5,5.117,17,1286.4,7,535
asymmetric,1.0,1278.0,15,fixed_webster,9.0673,6.5,26.5,50.5,3.2957,11,1291.2,5,535
asymmetric,1.0,1278.0,16,relay,7.3045,6.0,16.5,29.0,2.6153,14,1279.2,5,537
asymmetric,1.0,1278.0,16,fixed_equal,12.5587,12.0,25.0,42.5,4.5057,15,1276.8,6,537
asymmetric,1.0,1278.0,16,fixed_webster,9.7691,8.0,26.5,51.5,3.4983,10,1279.2,5,537
asymmetric,1.0,1278.0,17,relay,7.5036,6.5,17.5,38.5,2.764,13,1315.2,5,552
asymmetric,1.0,1278.0,17,fixed_equal,13.9375,14.5,27.0,47.5,5.1393,14,1315.2,5,552
asymmetric,1.0,1278.0,17,fixed_webster,9.8243,7.5,27.5,53.0,3.6163,12,1312.8,6,552
asymmetric,1.0,1278.0,18,relay,7.406,6.5,16.0,29.5,2.629,11,1276.8,1,532
asymmetric,1.0,1278.0,18,fixed_equal,12.7218,12.0,27.0,45.0,4.512,16,1262.4,6,532
asymmetric,1.0,1278.0,18,fixed_webster,10.1805,9.0,26.0,53.5,3.614,12,1269.6,5,532
asymmetric,1.0,1278.0,19,relay,6.7049,6.0,15.0,25.5,2.3557,10,1264.8,0,527
asymmetric,1.0,1278.0,19,fixed_equal,13.5892,14.0,25.5,41.5,4.8077,14,1272.0,0,527
asymmetric,1.0,1278.0,19,fixed_webster,9.7011,8.5,25.5,39.0,3.4303,12,1269.6,1,527
asymmetric,1.0,1278.0,20,relay,6.681,6.0,15.0,26.0,2.2793,13,1224.0,2,511
asymmetric,1.0,1278.0,20,fixed_equal,13.7916,13.5,30.0,52.5,4.7317,17,1221.6,5,511
asymmetric,1.0,1278.0,20,fixed_webster,9.59,8.0,27.0,55.0,3.2843,11,1224.0,7,511
asymmetric,1.0,1278.0,21,relay,7.8112,7.0,17.0,38.0,2.843,11,1305.6,2,543
asymmetric,1.0,1278.0,21,fixed_equal,13.6372,13.5,29.5,48.5,4.9727,15,1308.0,2,543
asymmetric,1.0,1278.0,21,fixed_webster,9.7164,8.0,27.0,55.5,3.5377,13,1303.2,5,543
asymmetric,1.0,1278.0,22,relay,7.0126,6.0,16.0,30.5,2.403,9,1236.0,0,514
asymmetric,1.0,1278.0,22,fixed_equal,14.7082,14.5,30.5,46.5,5.0717,17,1238.4,1,514
asymmetric,1.0,1278.0,22,fixed_webster,9.3804,7.5,25.0,46.5,3.229,10,1231.2,3,514
asymmetric,1.0,1278.0,23,relay,7.2589,7.0,15.0,25.5,2.7313,10,1344.0,5,564
